Name,Team,Age,WAR,EV,LA,HardHit%,O-Swing%,Z-Contact%,Pull%,Cent%,Oppo%,playerid
Mookie Betts,Red Sox,25,10.4,92.3,18.5,50.20%,19.80%,93.00%,47.20%,34.80%,18.00%,13611
Mike Trout,Angels,26,9.8,91.2,18.6,46.00%,21.80%,91.70%,40.20%,37.30%,22.50%,10155
J.D. Martinez,Red Sox,30,5.9,93,10.8,52.30%,33.20%,83.40%,37.70%,30.90%,31.40%,6184
Christian Yelich,Brewers,26,7.6,92.6,5,50.80%,27.70%,88.10%,34.90%,38.10%,27.00%,11477
Alex Bregman,Astros,24,7.6,89.4,16.8,39.80%,20.00%,92.80%,48.40%,32.40%,19.10%,17678
Jose Ramirez,Indians,25,8,89,19,34.50%,22.30%,92.10%,50.00%,30.20%,19.80%,13510
Nolan Arenado,Rockies,27,5.7,89.8,15.3,40.20%,33.20%,84.40%,39.80%,36.80%,23.40%,9777
Paul Goldschmidt,Diamondbacks,30,5.2,90.8,15.6,43.70%,28.80%,82.20%,37.90%,36.40%,25.70%,9218
Brandon Nimmo,Mets,25,4.5,89.9,10.7,42.00%,19.70%,82.70%,44.70%,32.10%,23.20%,12927
Trevor Story,Rockies,25,5.1,91,16,45.60%,32.20%,87.20%,43.30%,34.30%,22.40%,12564
Anthony Rendon,Nationals,28,6.2,90.7,17.9,44.60%,28.90%,92.20%,40.20%,32.70%,27.00%,12861
Freddie Freeman,Braves,28,5.3,89.1,14.5,39.80%,34.50%,84.00%,43.10%,31.10%,25.80%,5361
Manny Machado,- - -,25,6.2,91.6,14.4,48.20%,32.20%,89.00%,38.10%,36.20%,25.70%,11493
Eugenio Suarez,Reds,26,3.9,91.2,14.8,45.50%,25.90%,87.40%,42.70%,35.80%,21.50%,12552
Bryce Harper,Nationals,25,3.4,91,14.4,45.10%,26.10%,79.60%,42.30%,29.50%,28.20%,11579
Matt Carpenter,Cardinals,32,5,90.7,21.6,44.50%,21.00%,87.10%,48.30%,29.30%,22.40%,8090
Jesus Aguilar,Brewers,28,3.1,89.8,16.2,42.60%,35.60%,82.40%,43.50%,33.40%,23.10%,11342
Xander Bogaerts,Red Sox,25,4.9,90.6,12.6,41.50%,30.10%,89.30%,43.40%,34.80%,21.80%,12161
Joey Votto,Reds,34,3.5,88.1,13.4,34.80%,16.40%,86.70%,35.30%,33.80%,30.90%,4314
Matt Chapman,Athletics,25,6.6,93.1,14.9,47.60%,24.50%,86.40%,40.40%,35.00%,24.60%,16505
Francisco Lindor,Indians,24,7.6,90.6,14.7,40.50%,32.70%,90.90%,40.40%,34.60%,25.00%,12916
David Peralta,Diamondbacks,30,3.9,91.5,6.7,45.70%,31.80%,84.70%,39.00%,34.70%,26.30%,2136
Charlie Blackmon,Rockies,31,2.8,87.5,12,35.20%,31.80%,89.30%,40.80%,37.00%,22.20%,7859
Mitch Haniger,Mariners,27,4.5,90.2,12.7,42.90%,25.90%,87.10%,44.80%,36.70%,18.50%,14274
Javier Baez,Cubs,25,5.3,90.6,9.6,42.80%,45.50%,81.60%,40.50%,33.30%,26.10%,12979
Khris Davis,Athletics,30,2.7,92.5,18.1,47.50%,27.80%,77.70%,35.80%,40.20%,24.00%,9112
Jose Altuve,Astros,28,4.9,87.2,10.1,33.80%,33.30%,91.00%,41.40%,38.60%,20.00%,5417
Rhys Hoskins,Phillies,25,2.8,88.9,22.3,38.90%,22.80%,87.40%,50.00%,31.10%,18.90%,16472
Nicholas Castellanos,Tigers,26,3,89.6,15.2,40.50%,38.60%,84.40%,44.90%,30.30%,24.80%,11737
Scooter Gennett,Reds,28,4.5,87.3,14,31.90%,38.20%,86.90%,40.50%,32.10%,27.40%,10339
Miguel Andujar,Yankees,23,2.8,89.2,12.2,36.50%,39.40%,91.80%,47.50%,29.20%,23.30%,15878
Nelson Cruz,Mariners,37,2.5,93.9,12.8,51.30%,31.90%,85.80%,40.80%,34.80%,24.50%,2434
Aaron Hicks,Yankees,28,5,89.7,13.2,43.00%,20.90%,82.70%,45.40%,36.90%,17.80%,5297
Giancarlo Stanton,Yankees,28,4.3,93.7,11.6,50.70%,32.50%,80.50%,38.90%,37.00%,24.00%,4949
Lorenzo Cain,Brewers,32,5.7,89.1,4.9,40.50%,24.90%,90.90%,29.80%,37.40%,32.90%,9077
Michael Brantley,Indians,31,3.5,90.2,9.5,37.10%,27.10%,97.30%,40.40%,36.80%,22.80%,4106
Anthony Rizzo,Cubs,28,2.9,90.1,14.7,40.40%,32.80%,91.90%,45.30%,34.50%,20.20%,3473
Tommy Pham,- - -,30,4.1,92.9,6.6,49.60%,23.00%,87.40%,37.80%,39.80%,22.40%,2967
Andrew Benintendi,Red Sox,23,4.4,88.6,12.8,33.20%,28.40%,87.50%,38.40%,33.40%,28.20%,17901
Jose Martinez,Cardinals,29,2.4,91,8.1,44.10%,29.50%,88.10%,32.40%,32.90%,34.70%,7996
Shin-Soo Choo,Rangers,35,2.3,89.3,6.1,40.00%,23.90%,82.10%,38.10%,35.10%,26.80%,3174
Ben Zobrist,Cubs,37,3.6,89.9,9,38.20%,26.00%,92.10%,47.10%,31.50%,21.30%,7435
Gregory Polanco,Pirates,26,2.5,88.8,20,37.30%,28.50%,86.10%,45.70%,34.60%,19.70%,12907
J.T. Realmuto,Marlins,27,4.9,89,14.7,40.60%,29.90%,86.90%,45.10%,35.30%,19.60%,11739
Yasmani Grandal,Dodgers,29,4.7,88.9,14.1,39.80%,22.70%,81.80%,48.30%,32.90%,18.80%,11368
Stephen Piscotty,Athletics,27,3.1,88.5,13.2,38.40%,37.70%,87.10%,39.40%,36.80%,23.80%,13367
Travis Shaw,Brewers,28,3.6,88.9,16.9,38.00%,28.80%,87.90%,45.80%,32.50%,21.70%,11982
Didi Gregorius,Yankees,28,4.7,87,16,30.60%,36.20%,90.30%,40.40%,36.90%,22.70%,6012
Whit Merrifield,Royals,29,5.2,87,16.9,31.00%,32.80%,88.40%,33.70%,35.40%,31.00%,11281
